sub_num,subgroup,ses-1,ses-2,ses-3,ses-4
sub-1123,4,0.3343,0.3677033333333333,0.5198655555555556,0.4377233333333333
sub-1126,6,0.362765,0.15746711111111114,0.1948243333333333,0.12086111111111107
sub-1130,3,-0.10943333333333335,-0.02376900000000003,0.13039811111111108,-0.16683777777777778
sub-1131,6,-0.0655903333333333,0.2591511111111111,0.14219644444444443,0.20544222222222217
sub-1132,4,0.8427766666666667,0.6713811111111111,0.574728888888889,0.6970644444444444
sub-1140,4,0.41711666666666664,0.4305777777777778,0.2549888888888888,0.5783611111111111
sub-1141,5,-0.07463,0.44849822222222224,0.38054222222222217,0.37456066666666665
sub-1144,4,0.5927333333333333,0.44915555555555553,0.4416555555555555,0.3564333333333333
sub-1145,6,-0.0268999999999999,0.1810772222222222,0.3779855555555556,0.3929499999999999
sub-1149,5,0.0744833333333333,0.2743044444444444,0.49815000000000004,0.5956533333333334
sub-1154,6,,0.31694,0.38522888888888884,0.710488888888889
sub-1155,5,-0.0177333333333333,0.6927066666666667,0.8694888888888889,1.0006111111111113
sub-1158,5,0.0008866666666666,-0.10351000000000003,-0.23197111111111113,0.42620777777777774
sub-1167,6,-0.0433866666666666,0.4399966666666667,0.6405888888888889,0.33069022222222216
sub-1169,6,-0.0686933333333333,0.5712733333333334,1.0706111111111112,1.0701
sub-1174,3,0.05708333333333336,0.36261222222222217,0.47969111111111107,0.3696722222222222
sub-1176,3,-0.3087,-0.3791222222222222,0.03961999999999997,-0.1792854444444444
sub-1178,6,,-0.28139666666666663,0.1354325,
sub-1179,4,,0.33215555555555554,0.36111555555555547,0.2711111111111111
sub-1181,4,0.5607666666666666,0.4321444444444444,1.0202333333333333,0.9678999999999999
sub-1182,6,0.516,0.2627244444444444,0.9335666666666667,0.5514612222222222
sub-1183,5,0.19927466666666666,0.12347000000000001,0.24102888888888888,0.2153055555555555
sub-1185,6,,0.3704244444444444,0.0453233333333333,0.1504333333333333
sub-1189,3,,0.3325222222222222,0.5384444444444444,1.1276111111111111
sub-1190,5,,0.33114416666666663,0.15173111111111115,0.31276111111111105
sub-1191,3,0.182765,0.2934111111111111,-0.00453888888888887,0.21369111111111105
sub-1193,5,0.29373333333333335,0.36449999999999994,0.35999999999999993,0.5466333333333333
sub-1197,4,0.2195833333333333,0.38447000000000003,0.3424777777777777,0.42361999999999994
sub-1198,4,,0.7540649999999999,0.9796916666666667,0.8445666666666666
sub-1200,3,,-0.11219416666666665,0.2582941666666666,0.15736666666666668
sub-1202,3,0.4121333333333333,-0.2351633333333333,-0.023343333333333362,0.1798888888888889
sub-1204,3,0.2488,0.2998355555555555,0.51869,0.37993333333333323
sub-1205,5,,0.5668283333333333,0.4006744444444444,0.8561555555555556
sub-1211,5,,0.6323333333333333,0.4365111111111111,0.41300333333333333
