sub_num,group,ses-1,ses-2,ses-3,ses-4
sub-1122,2,0.1785225,-0.08607333333333335,-0.2675133333333333,0.23903333333333335
sub-1123,1,0.4573,0.3512206666666666,0.26271666666666665,0.13758166666666663
sub-1124,2,0.361325,0.4204833333333333,0.337795,0.27340000000000003
sub-1126,1,0.079925,0.2579099999999999,0.20901666666666663,0.1985866666666667
sub-1127,2,0.263,0.20098000000000002,0.29905,0.168775
sub-1128,2,0.10230250000000003,0.14094333333333334,0.2223183333333333,0.32208166666666666
sub-1130,1,-0.12161999999999999,-0.128335,0.09735166666666667,0.17268666666666665
sub-1131,1,0.1359625,0.23316166666666668,0.14099583333333332,0.1542066666666667
sub-1132,1,0.2635625,0.22203833333333337,0.020226666666666674,0.06509716666666664
sub-1134,2,0.15007499999999996,0.22366166666666665,0.5464333333333333,0.35776666666666673
sub-1135,2,0.8355,0.2415466666666666,0.24758,0.178125
sub-1136,2,,0.18357866666666667,-0.07483000000000001,0.0034149999999999736
sub-1138,2,0.09160999999999996,0.17832166666666663,0.2862933333333333,0.10398383333333332
sub-1140,1,0.12086,0.07802833333333335,0.14753333333333338,0.20666666666666667
sub-1141,1,-0.14093,0.00942000000000003,0.1037166666666667,0.028712499999999946
sub-1144,1,0.7051499999999999,0.21905499999999997,0.3973,0.2164
sub-1145,1,-0.072855,0.13271966666666665,0.0156535,-0.03977783333333334
sub-1147,2,-0.20793,0.15632166666666666,0.19278666666666666,0.21244333333333332
sub-1148,2,0.224045,0.06778966666666665,0.2315866666666667,-0.2579416666666667
sub-1149,1,0.141,0.22411666666666666,0.08966333333333332,0.11896500000000004
sub-1150,2,0.15395,0.08407833333333332,0.06431666666666666,0.21394333333333335
sub-1151,2,0.13018,0.10578833333333332,0.0021950000000000025,0.29584999999999995
sub-1154,1,,0.24631666666666666,0.21633333333333335,0.17848833333333325
sub-1155,1,-0.02622,-0.009051666666666729,0.40391666666666665,0.06463166666666666
sub-1156,2,,0.32893,0.2919333333333333,0.19151666666666664
sub-1157,2,0.0576725,0.10661,0.21715333333333334,0.17218666666666668
sub-1158,1,0.3604,0.2738233333333333,0.24766133333333337,0.2683833333333333
sub-1159,2,0.8103499999999999,0.25223333333333336,0.2366636666666667,0.452315
sub-1161,2,0.41175,0.07125166666666664,0.17847566666666667,0.36313999999999996
sub-1162,2,0.092765,0.18699999999999997,0.21932166666666666,0.05418
sub-1165,2,,-0.27283716666666663,0.46008166666666667,0.31766666666666665
sub-1167,1,0.036125,0.07683649999999995,0.32415,0.06235333333333334
sub-1168,2,0.10349249999999995,0.2667833333333333,0.345995,0.13197333333333333
sub-1169,1,0.2603,0.08338900000000003,0.29690833333333333,0.31355
sub-1171,2,,0.044299999999999985,0.41722,0.46215
sub-1173,2,0.426515,0.2006766666666667,0.5336833333333334,0.19429833333333335
sub-1174,1,0.08221999999999996,0.39896833333333337,0.4396333333333333,0.30550666666666665
sub-1175,2,0.12693499999999994,-0.10502166666666667,0.0492333333333333,-0.029083333333333333
sub-1176,1,0.2657,0.08738499999999999,0.2403733333333333,-0.26319499999999996
sub-1178,1,,0.22562874999999993,0.26478749999999995,
sub-1179,1,,0.17028333333333334,0.16846666666666668,0.11288833333333333
sub-1180,2,0.11482500000000001,0.15808,0.15822383333333334,0.115645
sub-1181,1,-0.07215,0.22677333333333335,-0.07324833333333335,-0.02566666666666671
sub-1182,1,0.50325,0.045369999999999994,0.20172999999999996,0.15582883333333333
sub-1183,1,0.44172500000000003,0.37458450000000004,0.21114999999999998,0.12300500000000002
sub-1184,2,,0.25182166666666667,0.261355,0.33759999999999996
sub-1185,1,,0.013830000000000009,0.16446666666666668,-0.058841
sub-1188,2,0.19762,0.30163,-0.09350050000000003,0.04327333333333333
sub-1189,1,,0.01213166666666667,0.05977833333333333,0.22416999999999998
sub-1190,1,,0.22391824999999999,0.32171666666666665,0.24971166666666667
sub-1191,1,0.003020000000000002,0.24509999999999998,0.08517799999999999,0.016248499999999968
sub-1193,1,0.698575,0.588825,0.47164999999999996,0.7751666666666667
sub-1195,2,,0.42830833333333335,0.16247166666666665,0.3699836666666667
sub-1196,2,0.9691,-0.1362001666666666,-0.08997266666666666,0.31767166666666663
sub-1197,1,-0.2451499999999999,0.14164999999999997,0.12148833333333332,-0.08059999999999996
sub-1198,1,,0.2010255,0.36911374999999996,0.17359483333333334
sub-1200,1,,-0.07678500000000002,0.17397500000000002,0.10341833333333333
sub-1201,2,,0.8834833333333334,0.39673875,0.42746999999999996
sub-1202,1,0.3989,0.25311333333333336,0.0904775,-0.0294833333333334
sub-1203,2,,0.09978166666666666,0.14099874999999995,0.14359166666666667
sub-1204,1,0.079395,0.3248,0.25301625,0.20872000000000002
sub-1205,1,,0.26246625,-0.010928333333333299,0.014674999999999966
sub-1206,2,0.160975,0.39885,0.07029999999999999,0.7141666666666667
sub-1207,2,-0.10436,0.03971666666666667,-0.09893833333333334,-0.16398500000000002
sub-1208,2,,-0.009262499999999948,0.313,0.224195
sub-1209,2,0.3591999999999999,0.7852333333333332,0.42444,0.6183833333333333
sub-1210,2,-0.0468,0.33475000000000005,0.6547750000000001,0.4084666666666667
sub-1211,1,,0.010089999999999997,0.1883775,0.015031666666666638
