sub_num,session_num,run_num,cycle_num,TR1,TR2,TR3,TR4,TR5,TR6,TR7,TR8,TR9,TR10,TR11,TR12,TR13,TR14,TR15,TR16,TR17,TR18,TR19,TR20,mean_psc_20tr,cycle_num_ses
1122,1,1,1,0.5786922410083546,0.8831600487096627,0.646607872462943,-0.13859328927027378,-0.5736543382227884,0.33484401697813254,0.12117405281418381,0.09090910399244834,0.5729139407456313,0.23200503633269454,0.6029990975910418,0.5652963858528235,-0.11909002050680115,-0.28844680649014925,0.0651159052995399,0.6639183970075982,0.6505567790287108,-0.031798099213702,0.0749633259301947,-0.10053234089108261,0.2415520654579581,1
1122,1,1,2,-0.3117698704422047,0.1641809346275375,0.03116863491343161,0.06457585535759514,0.3006676023663936,0.6786293834304994,0.8030139433204386,0.5237409847175718,0.990225599536755,0.6452714614922169,0.10062099573375904,0.44475397469454825,0.35537162180121334,0.17941461228610028,0.6858104535212921,0.7559993037911255,0.2195980768428985,0.47363627683028864,0.7907444823995231,0.12234266959497966,0.4008998498407982,2
1122,1,1,3,0.6462270760099461,1.2453677027461878,1.251451248929397,0.1929518762941565,-0.29629247559795485,-0.003195731284563852,0.2115682987434048,-0.03913887004394191,0.08071058422804922,0.48540269724280505,0.4364342855873923,0.7037698444974273,1.2851866881765714,1.2185169612146403,0.7859492270551793,1.1448608003562157,1.554574610993324,1.9730848120012914,1.9583742279407625,1.5724882567906615,0.8204146060940476,3
1122,1,1,4,0.2639780573891922,0.6116290254524996,-0.3731999831253777,0.17887139372200678,0.51459866539006,-0.14690025369831314,-0.09299808624004974,0.09644618319371528,0.6515721687916407,0.20443875271676037,-0.47685469845834283,-0.11461742363499378,0.8670337543243206,0.7627968454460267,0.38006310019057765,0.4270698987220011,0.39111480800463494,0.38205414775548086,0.6515623155544178,0.6221278417375287,0.29003932566168933,4
1122,1,1,5,0.26327819891499393,0.6378829178651632,0.8435051384261267,0.5884310395497875,0.09062225194159629,-0.3158889362720033,-0.4697690690687087,-0.3948170773221674,-0.07095756315053815,-0.20866262729963556,-0.8357770466950496,-0.2688311131997234,0.5711544097479582,0.48053352887381906,0.06981145120847469,0.19435178461316846,0.8143169313134692,1.0256751358883733,0.9309066539595786,0.6460889578619105,0.2295927483578296,5
1122,1,2,1,0.24971869674411784,0.6598879984940456,0.5502625338000431,0.47765283623065313,0.5232990188551705,0.18925947133644389,-0.0237378565298066,0.12819107946468017,0.5581467015667729,0.6083498621636059,0.11738625220875026,0.3144002327247042,1.0284224446802677,1.3376941491510266,0.9521284485147096,0.5819276561095028,0.8968558501003266,0.7109659915756128,1.1246023592671943,1.527298808330299,0.625635626739406,6
1122,1,2,2,0.5388291082620791,0.45405226075946997,0.3368975578249003,0.033333205897511986,-0.14368120389147263,0.1661700981487491,0.15621267754132723,-0.4734255576840165,-1.1076385774645239,-0.761181540985044,-0.3550681753190269,0.034334212084734556,0.2547145895151256,0.28728226573305604,0.20573703527358023,0.5133491347284639,1.0019732206592897,0.9674683783959585,0.378958482989834,0.09025390820541623,0.1289285540337706,7
1122,1,2,3,0.2654153855180431,0.6320535597676948,0.9378372620074896,0.8917368798993318,0.34078812639980405,0.03392467436561825,-0.1372804353320699,-0.4122370643303227,-0.5758293753264734,-0.40120813746381334,-0.04467740486242214,-0.2646137699884959,-0.5623490093505039,-0.2865972754878086,-0.10471814510433795,0.18325420432457795,0.34992706803273144,0.7013501513806908,0.43092384756970403,0.7025230924228698,0.13401118172211535,8
1122,1,2,4,0.8600769121533819,1.6278125041450142,1.0905659385863073,0.48429297017448036,-0.1248022655413841,0.08119550762448774,0.6490280238325414,0.23504955983192755,-0.5223521952688885,-0.4025329327160038,0.0673599714636543,0.22336593549530565,0.8639772817786073,0.6957798890975695,-0.06731666985226115,0.36513263618674696,0.053464120699941775,-0.513216544866544,-0.1890249635882311,0.42763034360623053,0.2952743011421441,9
1122,1,2,5,-0.447683270297323,0.1066425756018356,0.4700935651492592,0.5199353840891955,0.49451875268010687,-0.023619271647510806,-0.1816793503121522,0.14794920455626653,0.2962362458624306,0.5074993688184927,0.4160950881271349,-0.33911818853696,-0.660998040974632,-0.16209757586876647,0.3170936683073659,0.06818776439959098,-0.6154050167987468,-0.345810818017909,0.4136430661250874,0.10297240865061685,0.0542227779956692,10
1122,2,1,1,-0.5631030215837798,-0.22066692662128273,0.5910241727343958,0.339498922941313,0.007708931599370097,-0.2994096530775575,-0.4972899990518981,-0.01101424219024695,0.021352920539503356,0.08969110133658234,0.36774132523971614,0.42326258138486295,0.28226412440055815,0.7114858117679806,0.902968450198722,0.18222967900864412,0.023166619548148443,0.5477674668931314,0.22194157721030577,-0.15865550661482045,0.1480982167831824,1
1122,2,1,2,-0.0249442143148289,-0.20363332990192134,-0.5827132835312829,0.031574847792670224,0.3907046106111382,-0.12208648964341161,0.4716712165126994,0.36518007001076164,-0.6468189767641073,-0.6937579482645916,-0.6993913594365166,-0.7254833073251188,-0.4583071927994429,-0.12101975678121074,-0.10254833829858234,-0.2240248827499993,-0.22564428753010973,-0.777201649175461,-1.1187266165212213,-0.7865586924566355,-0.3126864790283586,2
1122,2,1,3,0.2042223626579114,0.12093504669288299,0.33562989777642077,-0.07930550569240036,0.3411452821642223,0.7778808562118686,0.9134302088318156,1.0825270185093785,0.24114994426990985,0.4295285904910766,0.4930628300904838,-0.20385463626313238,-0.43178423202051475,-0.33395174181978354,-0.039175838605841354,0.3356817734013109,0.45078347859611134,0.45587315707596954,0.21666290739416344,0.0469542478753949,0.2678697823818624,3
1122,2,1,4,0.969086102189867,0.4629232824086533,-0.303836690901091,-1.0673868030953075,-0.549164764639275,0.14725292272911014,0.31435217848426766,-0.019102247107791792,-0.27751836420559844,0.09342672951530165,0.04441355485851892,-0.15712726121424855,0.6091080003916228,1.0758782396604478,0.3446731749665164,0.7213236571372409,0.8667630196653463,-0.17289966659767197,0.14053795930792445,0.2626751151916966,0.17526890693727645,4
1122,2,1,5,-0.8661271600665245,-1.2285925351733196,-0.8069191604994154,-0.953939295282334,-1.306726488613899,-0.7919630262670915,-0.4497070407866436,-0.9911111391853655,-1.301938650471212,-1.0067381850785484,-0.648859910608871,-0.5479643922106776,-0.365651746640801,-0.30857155901946715,-0.4881967502122585,-0.2418127411599565,0.44578052603890617,0.35870969559818616,0.28201906726893433,0.3478920797098684,-0.5435209206330246,5
1122,2,2,1,-0.5613354222534477,0.35908228950527493,0.2950239246092976,-0.09975446369608335,-0.538463294653632,-1.4202450465688226,-0.46496136368961993,0.35738231283117483,0.07037824674702312,-0.08771696484575756,-0.6057956092084698,-0.6376342033154168,-0.31069120132875133,-0.12220157695240565,-0.7297336648056199,-0.8919426668876654,-0.827546566980013,-0.639113508536089,-0.18870482723317542,-0.7517627393818569,-0.3897868173322028,6
1122,2,2,2,-0.23717831392940025,0.30691882866375164,0.6984508207002567,0.5651697426998725,-0.5104721204295178,-0.6489475868915889,-0.6076552464719517,-0.3321798546285948,0.2518915873096118,-0.3576043979611241,-0.6923152493361462,-0.46310942845280867,0.09327077648614186,0.1734696458422782,0.4250536639394356,0.10168779866617295,-0.3802448331772154,-0.363016815144368,-0.6564490226632373,-0.6377139849619198,-0.16354869948701756,7
1122,2,2,3,-0.06903422712377927,0.019058447537707385,0.2794699751853791,0.3012970281959132,0.22209725918070175,0.3592125914982751,-0.6920909727725743,-0.5441491597800808,-0.26676664705073416,-0.2686664143144677,0.16959417365258175,0.29104197101327905,0.13756657072379286,-0.17697798931743958,-0.25053439955734985,0.3143753560206881,0.4379475435892083,0.0771384177402847,-0.46746694810102657,-0.48321088224808306,-0.0305049152963862,8
1122,2,2,4,0.11713586503069734,0.28444443779802603,0.2737688747875117,-0.2717043865314197,-0.769936058425776,-0.33677842108397515,-0.5460034767843743,-0.9865893013937612,0.01147959565848633,0.05997408098369916,-0.4366105560826795,-0.5038441426583647,-0.06954431525981691,0.8264462518669691,0.26749119850386666,-0.31602909494126363,-0.5197358183297256,-0.11657897419972857,0.44513634070029595,0.7633459202374987,-0.09120659900619164,9
1122,2,2,5,-0.3618899277246796,-0.32376700785820667,0.10196066435005122,0.062358391852811224,-0.18797196330670765,0.2767738091764718,-0.07298350958132765,-0.4295568200726182,0.05377893949613011,-0.04508056222527465,-0.7260325024502747,-0.7264432199464869,-0.6296792003108405,0.21741554162358112,0.20513129138716063,-0.5692737813298816,-0.49550013071156046,-0.5723761513511629,-0.30688370231615025,-0.19917782129911035,-0.23645988312990382,10
1122,2,3,1,-0.21098405876955226,0.34811582741794367,0.6916161379112722,0.309753001207059,-0.13004883615887458,-0.054186559312843496,0.33293169809123385,0.51841815198186,-0.1082311123915489,-0.7146722518207955,-0.4581953948046703,-0.1843561065575393,-0.2878476837364775,-0.6254879649147227,-0.041068377950892854,0.5733635417758264,0.09281379245693196,-0.026733457865799906,0.3018927098918324,-0.13601323595246073,0.00955399102488905,11
