sub_num,subgroup,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
sub-1123,4,0.3343,0.7279,0.2789,0.09631,0.6894666666666667,0.47769999999999996,0.39243,0.6539,0.44129999999999997,0.21797,,
sub-1126,6,0.45506666666666673,0.27046333333333333,-0.03367866666666667,0.3907333333333334,0.11534666666666667,0.12213733333333333,0.050169,0.4121666666666666,0.13083999999999998,-0.00316666666666666,0.23490999999999998,
sub-1130,3,0.09756666666666668,-0.3164333333333333,0.05939333333333333,-0.18924333333333332,0.05854299999999999,-0.09137333333333332,0.019000999999999997,0.4635666666666666,0.08078333333333333,-0.29553,-0.28576666666666667,
sub-1131,6,-0.04948666666666667,-0.081694,0.3813333333333333,0.20805333333333334,0.1880666666666667,0.3637026666666667,0.04188,0.021006666666666663,0.28141666666666665,0.16144333333333336,0.17346666666666666,
sub-1132,4,0.8215666666666667,0.8639866666666668,0.7824433333333333,0.9742999999999999,0.2574,1.2844,-0.09737666666666667,0.5371633333333333,0.76479,0.41636999999999996,0.9100333333333332,
sub-1140,4,0.40840000000000004,0.42583333333333334,0.6657666666666667,0.2124666666666667,0.41350000000000003,0.13553333333333334,0.32849999999999996,0.30093333333333333,0.8334,0.42028333333333334,0.4814,
sub-1141,5,-0.19041666666666668,0.041156666666666654,0.9653,0.24123133333333335,0.13896333333333333,0.11083,0.9081333333333333,0.12266333333333335,0.118688,0.6304333333333333,,
sub-1144,4,0.5196666666666667,0.6658,0.5437333333333333,0.5437666666666666,0.2599666666666667,0.5912333333333334,0.2516333333333333,0.4821,0.4790666666666667,0.5884066666666666,0.0018266666666666616,
sub-1145,6,-0.026899999999999962,0.2555,0.09613166666666667,0.1916,0.29813333333333336,0.5344333333333333,0.30139,0.4229,0.6911999999999999,0.06474999999999999,,
sub-1149,5,0.07448333333333333,0.10964666666666666,0.15596666666666667,0.5573,0.50114,0.13457666666666668,0.8587333333333333,0.31725333333333333,0.8740533333333333,,,
sub-1154,6,0.24935333333333332,0.2084,0.4930666666666667,0.4946333333333333,0.35345333333333334,0.30760000000000004,0.6715666666666666,0.9089666666666667,0.5509333333333334,,,
sub-1155,5,-0.01773333333333334,0.5020866666666667,0.6384000000000001,0.9376333333333333,0.5515,1.2305666666666666,0.8264,0.9228666666666667,0.9199333333333334,1.1590333333333334,,
sub-1158,5,0.0008866666666666653,-0.5993333333333334,0.35656666666666664,-0.06776333333333333,0.0023999999999999946,-0.07930000000000002,-0.6190133333333333,0.30632333333333334,0.6511,0.3212,,
